col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,Category
DP227,Lamb Macon & Egg Wrap Sticker,500,,5,0,0,DF471,Belgian choclate Muffin (20),1,20,,18.5,0,0,,Frozen Food
DP228,Spiced Chicken Sausage & Egg Wrap Sticker,500,,5,0,0,FPFC235,Zesty Fruit Granola Bar (24),1,24,,15.5,0,0,,Frozen Food
DP244,Blank Cake Stickers,500,,4.2,0,0,FPFC232,Belgian Caramel Shortbread (24),1,24,,15.5,0,0,,Frozen Food
DP250,Poppadom Nacho Sticker,500,,5,0,0,DF448,Chocolate Krispy (24),1,24,,15.5,0,0,,Frozen Food
DP251,Nuggets & Chips Sticker,500,,5,0,0,FPFC223,Parle-G (144 per box),144,1,,32,0,0,,Frozen Food
DP252,Masala Beans&Cheese Tostie&Chips Sticker,500,,5,0,0,FPFC229,Omelette Mix ,100,1,,30,0,0,,Frozen Food
DP253,Tikka Biryaani Sticker,500,,5,0,0,DF430,Gunpowder Spice Mix (5x1kg),50,5,,80.93,0,0,,Frozen Food
DP254,Bombay Twister Sticker,500,,5,0,0,DF433,Chaat Masala (10x500g) ,160,10,,94,0,0,,Frozen Food
DP255,Chicken Tikka Melt Sticker,500,,5,0,0,FPG307,Falooda mix Rose (20 per pack),10,20,,24,0,0,,Frozen Food
DP256,Vada Pav Sticker,500,,5,0,0,FPG308,Falooda mix Mango (20 per pack),10,20,,24,0,0,,Frozen Food
DP235,3 Compartment Container,200,,19.76,0,0,FPG314,White Sugar Sachets (1000 per box),1000,1,,12,0,0,,Frozen Food
DP236,3 Compartment Container Lid,200,,21.5,0,0,FPG315,Brown Sugar Sachets (1000 per box),1000,1,,12,0,0,,Frozen Food
PP503,Printed Straws,2000,,36,0,0,FPG316,Salt Sachets (2000 per box),2000,1,,12,0,0,,Frozen Food
PP504,Wooden Stirrer,10000,,27.87,0,0,FPG317,Pepper Sachets (2000 per box),2000,1,,12,0,0,,Frozen Food
PP539,Wooden Knives,2000,,30.25,0,0,FPG302,Yogurt and Mint Sauce,42,6,,19.98,0,0,,Frozen Food
PP538,Wooden Spoons,2000,,30.25,0,0,FPG311,Burger Relish,42,6,,18.87,0,0,,Frozen Food
